"","bac_Moraxellaceae","bac_Micrococcaceae","bac_Sphingomonadaceae","bac_Methylobacteriaceae","bac_Dermacoccaceae","bac_Staphylococcaceae","bac_Pseudomonadaceae","bac_Fusobacteriaceae","bac_Rhodanobacteraceae","bac_Acetobacteraceae","bac_Vibrionaceae","bac_Blastocatellaceae","bac_Dermabacteraceae","bac_Brevibacteriaceae","bac_Streptococcaceae","bac_Erwiniaceae","bac_Selenomonadaceae","bac_Chromobacteriaceae","bac_Paenibacillaceae_1","bac_Streptomycetaceae","bac_Burkholderiaceae","bac_Salisaetaceae","bac_Carnobacteriaceae","bac_Roseiarcaceae","bac_Pseudoalteromonadaceae","bac_Ilumatobacteraceae","bac_Spirochaetaceae","bac_Salinisphaeraceae","bac_Hafniaceae","bac_Clostridiales_Incertae_Sedis_XIII","bac_Hydrogenophilaceae","bac_Jonesiaceae","bac_Nocardiopsaceae","bac_Bacillales_Incertae_Sedis_XII","bac_Pectobacteriaceae","bac_Desulfobulbaceae","bac_Tsukamurellaceae","bac_Atopobiaceae","bac_Verrucomicrobiaceae","bac_Succinivibrionaceae","bac_Deferribacteraceae","bac_Listeriaceae","faprotax_chemoheterotrophy","faprotax_aerobic_chemoheterotrophy","faprotax_fermentation","faprotax_ureolysis","faprotax_human_pathogens_all","faprotax_sulfate_respiration","faprotax_respiration_of_sulfur_compounds","faprotax_knallgas_bacteria","faprotax_aerobic_ammonia_oxidation"
"bac_Moraxellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630255839822024,-0.652502780867631,0,0,0,0,0
"bac_Micrococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574638487208009,0.698331479421579,-0.702780867630701,0,0,0,0,0,0
"bac_Sphingomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546607341490545,0,0,0,0,0
"bac_Methylobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896774193548387,0,0,0,0,0
"bac_Dermacoccaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636929922135706,0.67119021134594,-0.559510567296997,0,0,0,0,0,0
"bac_Staphylococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bac_Pseudomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691212458286986,0,0,0,0
"bac_Fusobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.657842046718576,0.717018909899889,-0.547052280311457,0,0,0,0,0
"bac_Rhodanobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bac_Acetobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719688542825362,0,0,0,0
