group	Row.names	b170D	b170F	b170I	b4859D	b4859F	b4859I	b689D	b689F	b689I	b8808D	b8808F	b8808I	b8826D	b8826F	b8826I	b8827D	b8827F	b8827I	b9366D	b9366F	b9366I	b9377D	b9377F	b9377I	b9382D	b9382F	b9382I	b9393D	b9393F	b9393I	nb170D	nb170F	nb170I	nb4859D	nb4859F	nb4859I	nb689D	nb689F	nb689I	nb8808D	nb8808F	nb8808I	nb8826D	nb8826F	nb8826I	nb8827D	nb8827F	nb8827I	nb9366D	nb9366F	nb9366I	nb9377D	nb9377F	nb9377I	nb9382D	nb9382F	nb9382I	nb9393D	nb9393F	nb9393I
methanotrophy	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetoclastic_methanogenesis	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_disproportionation_of_methyl_groups	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_using_formate	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_CO2_reduction_with_H2	NA	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	6	0	0	0	0	0	0	90	13	0	138	48	0	15	40	0	0	1	0	31	14	0	1	0	0	19	8	2	56	9	0	18	99	0	8	14
methanogenesis_by_reduction_of_methyl_compounds_with_H2	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrogenotrophic_methanogenesis	NA	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	6	0	0	0	0	0	0	90	13	0	138	48	0	15	40	0	0	1	0	31	14	0	1	0	0	19	8	2	56	9	0	18	99	0	8	14
methanogenesis	NA	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	6	0	0	0	0	0	0	90	13	0	138	48	0	15	40	0	0	1	0	31	14	0	1	0	0	19	8	2	56	9	0	18	99	0	8	14
methanol_oxidation	NA	422	1238	640	265	583	1290	423	178	810	383	334	685	391	1190	1664	892	575	1880	393	306	904	370	417	1159	116	1405	1104	406	600	854	4075	3395	1620	2302	1425	1478	4224	10188	1749	4646	5839	1809	7324	2928	2148	3515	1991	4997	3060	2015	3398	2864	1860	1447	2069	2736	1780	3576	3753	451
methylotrophy	NA	422	1238	640	265	583	1290	423	178	810	383	334	685	391	1190	1664	892	575	1880	393	306	904	370	417	1159	116	1405	1104	406	600	854	4075	3395	1620	2302	1425	1478	4224	10188	1749	4646	5839	1809	7324	2928	2148	3515	1991	4997	3060	2015	3398	2864	1860	1447	2069	2736	1780	3576	3753	451
aerobic_ammonia_oxidation	ASV_2501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	22	0	12	4	0	3	0	1	1	0	0	4	3	4	0	0	30	0	4	0	0	4	4	0	0	0	0
aerobic_nitrite_oxidation	NA	7	33	26	1	86	0	8	0	2	4	51	9	2	18	48	0	20	161	1	84	26	0	38	24	5	176	2	1	37	9	24	55	29	55	43	69	34	24	23	32	9	5	12	16	9	41	36	32	37	20	11	54	64	13	70	35	136	40	103	5
nitrification	NA	7	33	26	1	86	0	8	0	2	4	51	9	2	18	48	0	20	161	1	84	26	0	38	24	5	176	2	1	37	9	24	57	29	77	43	81	38	24	26	32	10	6	12	16	13	44	40	32	37	50	11	58	64	13	74	39	136	40	103	5
