		group		
bac_Moraxellaceae		b_C		
bac_Micrococcaceae		b_A		
bac_Sphingomonadaceae		b_A		
bac_Methylobacteriaceae		n_B		
bac_Dermacoccaceae		b_C		
bac_Staphylococcaceae		b_A		
bac_Pseudomonadaceae		b_A		
bac_Fusobacteriaceae		n_C		
bac_Rhodanobacteraceae		n_B		
bac_Acetobacteraceae		n_A		
bac_Vibrionaceae		n_C		
bac_Blastocatellaceae		n_B		
bac_Dermabacteraceae		b_C		
bac_Brevibacteriaceae		b_C		
bac_Streptococcaceae		n_C		
bac_Erwiniaceae		b_B		
bac_Selenomonadaceae		n_C		
bac_Chromobacteriaceae		b_C		
bac_Paenibacillaceae_1		n_B		
bac_Streptomycetaceae		b_B		
bac_Burkholderiaceae		b_B		
bac_Salisaetaceae		n_C		
bac_Carnobacteriaceae		b_C		
bac_Roseiarcaceae		n_A		
bac_Pseudoalteromonadaceae		n_A		
bac_Ilumatobacteraceae		b_A		
bac_Spirochaetaceae		n_B		
bac_Salinisphaeraceae		n_B		
bac_Hafniaceae		n_C		
bac_Clostridiales_Incertae_Sedis_XIII		n_B		
bac_Hydrogenophilaceae		n_A		
bac_Jonesiaceae		b_B		
bac_Nocardiopsaceae		b_C		
bac_Bacillales_Incertae_Sedis_XII		b_B		
bac_Pectobacteriaceae		n_A		
bac_Desulfobulbaceae		n_C		
bac_Tsukamurellaceae		n_A		
bac_Atopobiaceae		b_A		
bac_Verrucomicrobiaceae		b_B		
bac_Succinivibrionaceae		b_A		
bac_Deferribacteraceae		b_B		
bac_Listeriaceae		b_B		
faprotax_chemoheterotrophy			b_A	
faprotax_aerobic_chemoheterotrophy			b_A	
faprotax_fermentation			b_C	
faprotax_ureolysis			n_B	
faprotax_human_pathogens_all			n_C	
faprotax_sulfate_respiration			n_B	
faprotax_respiration_of_sulfur_compounds			n_B	
faprotax_knallgas_bacteria			n_A	
faprotax_aerobic_ammonia_oxidation			n_B	
