	b170D	b170F	b170I	b4859D	b4859F	b4859I	b689D	b689F	b689I	b8808D	b8808F	b8808I	b8826D	b8826F	b8826I	b8827D	b8827F	b8827I	b9366D	b9366F	b9366I	b9377D	b9377F	b9377I	b9382D	b9382F	b9382I	b9393D	b9393F	b9393I	nb170D	nb170F	nb170I	nb4859D	nb4859F	nb4859I	nb689D	nb689F	nb689I	nb8808D	nb8808F	nb8808I	nb8826D	nb8826F	nb8826I	nb8827D	nb8827F	nb8827I	nb9366D	nb9366F	nb9366I	nb9377D	nb9377F	nb9377I	nb9382D	nb9382F	nb9382I	nb9393D	nb9393F	nb9393I
ASV_1	4578	4088	1374	20370	16705	19812	15251	17623	13519	15398	13122	2575	4143	5005	7066	6335	2073	5886	11342	3319	2162	26412	31951	33352	24448	12414	6985	12651	11916	9732	386	67	113	198	21	168	386	318	418	266	50	91	184	74	251	408	170	826	900	669	818	183	14	28	133	133	156	368	40	55
ASV_2	2476	558	861	9568	4223	4086	12746	4464	6192	21269	2314	4325	11070	6002	7205	25048	2817	6433	21133	2247	4053	11729	779	1599	14523	3147	4808	14256	3567	5712	2063	231	227	1637	63	198	2285	507	584	3008	670	589	3102	301	564	3454	393	1376	3665	678	796	1783	165	296	2248	292	483	5112	456	300
ASV_3	2098	2671	2396	3370	5273	9366	5960	6078	9672	4041	2072	4991	493	986	5809	1171	616	4604	2613	1233	2566	2394	1556	8365	13467	5467	16111	14873	11565	17564	69	46	151	246	77	347	261	114	230	182	73	381	147	31	214	222	217	1011	303	153	353	164	21	104	324	322	2033	294	184	410
ASV_5	797	290	617	11598	3859	4729	9632	2727	5554	8934	1143	960	4186	2048	3291	3166	346	928	7528	872	1165	7155	448	921	4385	1324	1123	3055	1202	1280	1352	273	183	2262	320	261	3192	534	659	2318	261	228	2665	604	574	2061	300	340	2827	427	382	1853	131	254	6018	820	126	4076	217	204
ASV_4	30292	14315	6464	1187	1102	2216	2123	3168	2176	3195	7130	5495	593	1493	1415	1747	1137	2025	1322	605	486	896	2203	117	462	2671	1553	1821	2079	2661	4171	464	245	810	185	452	862	279	233	2203	1289	920	1206	47	222	1651	151	985	1556	1328	1068	579	99	92	175	124	52	1610	318	67
ASV_6	527	206	776	895	2265	3778	2663	2815	10104	2866	599	10031	912	1755	6029	5816	1362	12939	3287	719	7391	1005	369	170	1670	965	8564	1139	1010	4716	284	50	231	960	61	260	1617	284	569	749	130	765	740	138	720	1393	397	3657	1255	524	2136	574	51	132	1351	220	1133	1192	211	653
ASV_8	14458	5513	2270	1203	1103	1873	4402	2828	4014	4044	830	1668	927	661	2149	1903	311	859	2011	305	536	2350	229	316	3457	1194	1205	5683	2387	2009	2431	113	89	945	16	41	1196	196	230	1615	215	249	870	55	214	1123	53	271	1836	295	375	870	14	56	1205	86	239	1072	121	48
ASV_7	26	462	3351	26	3672	427	28	2528	4253	29	3777	439	63	9638	2233	69	19154	4904	41	1397	949	61	2114	114	42	3582	2436	172	3731	2072	3	2	3	3	18	0	3	2	2	3	0	1	1	6	8	2	3	9	5	4	3	1	5	0	11	0	0	3	48	2
ASV_9	603	15	646	553	93	12	421	1	0	364	63	85	43353	2734	628	381	45	184	448	104	2	309	124	564	7	216	27	0	68	59	63	46	185	92	2	48	63	49	52	149	97	335	115	14	158	50	39	26	108	22	40	170	29	119	138	26	102	47	42	54
ASV_11	518	566	578	69	117	323	61	2	30	202	81	125	579	694	681	325	185	184	251	114	81	846	123	229	82	272	137	85	150	381	308	158	332	904	4209	215	592	287	317	1091	636	370	2019	1334	375	1087	1443	316	826	398	231	1247	321	463	1300	2919	146	578	698	158
